Key, English,Türkçe, German, Russian
GAMEPLAY_RiceCookedDescription, "Pure cooked white rice is rather dull, but provides good calories.", "Saf pişmiş beyaz pirinç, tatsız ancak iyi kalori sağlar.", "Reiner gekochter Langkornreis ist ziemlich langweilig, aber liefert wertvolle Kalorien.", "Приготовленный белый рис, отлично утоляет голод."
GAMEPLAY_CannedChili, "Chili", "Acı Biber", "Chili", "Банка Чили"
GAMEPLAY_CannedChiliDescription, "Hearty. Warming. Soul soothing. Chili!", "Doyurucu. Isıtıcı. Rahatlatıcı. Acı biber!", "Deftig. Wärmend. Balsam für die Seele. Chili!", "Перекус для любителей поострее."
GAMEPLAY_CannedStew, "Beef Stew", "Sığır Yahnisi", "Rindfleischeintopf", "Тушеная говядина"
GAMEPLAY_CannedStewDescription, "A hearty meal with meat and vegetables. Good enough to forget about everything else for little while.", "Et ve sebzelerden oluşan doyurucu bir yiyecek. Bir süre için her şeyi unutacak kadar iyi.", "Ein anständiges Essen mit Fleisch und Gemüse. Gut genug um alles andere für einen kurzen Moment zu vergessen.", "Сытный обед с мясом и овощами."
GAMEPLAY_CannedSpaghetti, "Spaghetti with Meatballs", "Köfteli Spagetti", "Spaghetti mit Fleischbällchen", "Спагетти с фрикадельками"
GAMEPLAY_CannedSpaghettiDescription, "Feed your inner child!", "İçinizdeki çocuğu besleyin!", "Für das Kind in dir!", "Накормите своего внутреннего ребенка!"
GAMEPLAY_HoneyJar, "Jar of Honey", "Bal Kavanozu", "Honigglas", "Мёд лесной"
GAMEPLAY_HoneyJarDescription, "A true lifesaver! Honey provides calories, vitamins, minerals and will never spoil!", "Gerçek bir cankurtaran! Kalori, vitamin, mineral sağlar ve hiçbir zaman bozulmaz!", "Ein echter Lebensretter! Honig liefert Kalorien, Vitamine, Mineralien und verdirbt nicht!", "Вкусное и очень полезное лакомство."
GAMEPLAY_SPAM, "SPAM", "İstenmeyen Ganimet", "Frühstücksfleisch", "Мясные консервы ""SPAM"""
GAMEPLAY_SPAMDescription, "Canned pork. Cheap and simple.", "Domuz eti konservesi. Ucuz ve basit.", "Schweinefleisch in Dosen. Billig und einfach.", "Консервированное мясо. Дешево и просто."
